order,seasonal_order,trend,MAE,RMSE,WAPE,MAPE,AIC,BIC,converged,status
"(0, 1, 1)","(1, 0, 1, 7)",,43.06364711809374,54.98230340228745,0.18794143345109285,27.320183731832763,3228.6831338691136,3243.431035294473,True,success
"(0, 1, 1)","(1, 0, 1, 7)",c,43.89136463344408,57.43114249205069,0.19155381713752145,23.439423393576472,3227.2859552066,3245.7208319882993,True,success
"(0, 1, 1)","(1, 1, 1, 7)",,39.30594124293007,51.667097270053695,0.17154178604711987,21.690365213400316,3145.8913096833785,3160.543151603922,True,success
"(0, 1, 1)","(1, 1, 1, 7)",c,39.8630166157621,53.55739843100212,0.1739730140344578,19.74662034668308,3146.0821077705755,3164.396910171255,True,success
"(1, 0, 1)","(1, 0, 1, 7)",,39.581266733853454,52.59197184397151,0.1727433811486185,22.082465989689265,3230.46665790692,3248.91845517854,True,success
"(1, 0, 1)","(1, 0, 1, 7)",c,44.015645897909444,55.009275486932296,0.19209621427659054,29.136842584553918,3232.2806320160225,3254.422788741967,True,success
"(1, 0, 1)","(1, 1, 1, 7)",,40.121753211275724,51.91239564457541,0.17510221069803195,23.607950338094703,3147.6539812141355,3165.9861146546978,True,success
"(1, 0, 1)","(1, 1, 1, 7)",c,39.68747264779107,51.751906324550426,0.17320689255655106,22.488307830683745,3149.2918847688825,3171.290444897557,True,success
"(1, 1, 1)","(1, 0, 1, 7)",,43.04403018184189,54.96005440798218,0.1878558198218296,27.323428436291497,3230.6757314118595,3249.1106081935586,True,success
"(1, 1, 1)","(1, 0, 1, 7)",c,43.88669703076847,57.42705440013436,0.1915334464537466,23.43575393823971,3229.285924739754,3251.407776877793,True,success
"(1, 1, 1)","(1, 1, 1, 7)",,39.275355523606926,51.585774830628985,0.17140830167416465,21.804623071032683,3147.649704168924,3165.9645065696036,True,success
"(1, 1, 1)","(1, 1, 1, 7)",c,39.80919164154775,53.53446343959592,0.17373810725144492,19.71861163425408,3147.9232522628818,3169.9010151436974,True,success
